Date,Open,High,Low,Close,Adj Close,Volume
2015-10-19,10.752331,10.752331,9.578292999999999,9.618977000000001,9.015602000000001,2721200
2015-10-20,9.444614,9.839835,9.444614,9.804963,9.189923,1220800
2015-10-21,10.025822,10.083942,9.531796,9.578292999999999,8.977471000000001,135200
2015-10-22,9.711969999999999,9.90958,9.438803,9.851460000000001,9.233500999999999,189200
2015-10-23,10.025822,10.025822,9.793339,9.880519999999999,9.260739,102900
2015-10-26,9.944453,9.944453,9.479486999999999,9.54342,8.944785000000001,885600
2015-10-27,9.624789,9.735218,9.066831,9.142387,8.568908,1094200
2015-10-28,9.241192,9.502735000000001,9.209226,9.462050999999999,8.868519000000001,509700
2015-10-29,9.305125,9.456239,9.03777,9.270252000000001,8.688754,499600
2015-10-30,9.241192,9.357433,8.555368,8.555368,8.018713,4214100
2015-11-02,8.712294,8.816911,8.055530000000001,8.42169,7.893418,70312600
2015-11-03,8.177584,8.549555999999999,7.9480070000000005,8.346133,7.822601,69176300
2015-11-04,8.363569,8.433314,7.910228,7.939289,7.441278,54241800
2015-11-05,7.927664,8.072967,7.625437,7.718430000000001,7.234272,38179900
2015-11-06,7.660309,8.415878,7.642873,8.369382,7.844392,51702600
2015-11-09,8.288013000000001,8.415878,8.212456,8.25314,7.735442999999999,30158000
2015-11-10,8.212456,8.39263,8.142711,8.375194,7.849839,25426000
2015-11-11,8.25314,8.317072999999999,8.189207000000001,8.200830999999999,7.686413000000001,18942200
2015-11-12,8.026469,8.032282,7.898604,7.962536999999999,7.463067999999999,35050600
2015-11-13,7.910228,7.997408999999999,7.642873,7.782361999999999,7.294194999999999,25678400
2015-11-16,7.770739,7.910228,7.637061,7.77655,7.288747,23712100
2015-11-17,7.77655,7.840483,7.625437,7.6835580000000006,7.201588,21370500
2015-11-18,7.834671000000001,7.979972999999999,7.665539999999999,7.927664,7.430383,22402400
2015-11-19,7.863731,8.072967,7.85792,8.009033,7.506647,22662200
2015-11-20,8.009033,8.503059,7.950912,8.258952,7.740889,31932300
2015-11-23,8.235704,8.258952,7.88698,8.049717999999999,7.544778999999999,26354200
2015-11-24,7.892792,8.151428999999998,7.846295,7.956725,7.4576199999999995,41484100
2015-11-25,8.084589999999999,8.636737,8.043906,8.206644,7.6918619999999995,39017100
